Day,Meeting Name,Town,Type,Time of Day,Link to Join Online,Join by Phone w/Pass Code,Mtg ID / Access Code,Password
Sunday,Sunrise Group,Bogota,C-ST,7:00 AM,https://zoom.us/j/359749567,"9292056099,,359749567#",359749567#,
Sunday,Norwood Group,Norwood,O-S-D,7:00 AM,https://teams.microsoft.com/l/meetup-join/19%3ameeting_NTgxN2Y4YzMtZWY3NS00MTNlLWE1M2QtNWJiM2QzYTFhMmQx%40thread.v2/0?context=%7b%22Tid%22%3a%2287b47800-e534-4dd7-a241-31d5f289a2d6%22%2c%22Oid%22%3a%220141f6f8-44ef-4a80-9932-e97e06da03b1%22%7d,,,
Sunday,Sunrise Group,Toms River,C-D,7:00 AM,https://zoom.us/j/460210225,"9292056099,,460210225#",460210225#,
Sunday,Montclair Daily Reflections,Upper Montclair,C-D,7:00 AM,https://us04web.zoom.us/j/3887107036,"929-205-6099,,3887107036#
",3887107036#,
Sunday,First Things First,Union,O-BB,7:30 AM,https://zoom.us/j/3477596318,"6465588656,,3477596318#",3477596318#,
Sunday,Serenity 24,Hampton,O-D,8:00 AM,https://zoom.us/j/3017572725,"9292056099,,3017572725",3017572725,
Sunday,Sunday Morning Knights of Columbus,Middletown,S-D,9:00 AM,https://zoom.us/j/512565879,"9294362866,,512565879#",512565879#,
Sunday,Sunday Morning Valley Group,Paramus,O-D,9:00 AM,https://zoom.us/j/420029665,"929-205-6099,,420029665#",420029665#,
Sunday,Serenity 24,Hampton ,O-S,9:15 AM,https://zoom.us/j/3017572725,"9292056099,,3017572725",3017572725,
Sunday,Soberly Speaking,Jersey City,ST-BB,10:00 AM,https://zoom.us/j/963220831?pwd=YmZhOFV5YlFDWWRRNzdhdHorYUVuZz09,"(646)558-8656,,963220831#",963220831#,906921
Sunday,Serenity 24,Hampton,O-D,10:30 AM,https://zoom.us/j/3017572725,"9292056099,,3017572725",3017572725,
Sunday,No PsychoBabble,West Orange,C-ST 123,11:00 AM,https://zoom.us/j/966602444,"929-205-6099,,966602444#",966602444#,
Sunday,Hoboken Big Book Believers,Hoboken,O-BB-Beginner,11:30 AM,https://zoom.us/j/5910443795?pwd=R0ZnTWVpeVpmREFkOEN5WURNMy9hdz09,"6468769923,,5910443795#",5910443795#,1029384
Sunday,Shoralan Noon Closed Discussion,Belmar,C-D,12:00 PM,https://zoom.us/j/5424434814,"929-205-6099,,5424434814#",5424434814#,
Sunday,Serenity 24,Hampton,O-S,12:00 PM,https://zoom.us/j/3017572725,"9292056099,,3017572725",3017572725,
Sunday,Serenity 24,Hampton,O-D,4:00 PM,https://zoom.us/j/3017572725,"9292056099,,3017572725",3017572725,
Sunday,The Way Out Group,Roselle,O-S,5:00 PM,https://zoom.us/j/936027943,"3126266799,,936027943#",5421588012#,
Sunday,Sunday Steps,Hoboken,C-S-B,6:00 PM,https://us04web.zoom.us/j/254070573#,"646-558-8656,,254070573#",254070573#,
Sunday,The Week That Was Group,Netcong,Discussion,6:30 PM,https://meetingsamer2.webex.com/join/aa.twtw1935,"408-418-9388,,295203725#",295203725#,
Sunday,Wood-Ridge Sunday Night,Wood-Ridge,O-B,6:30 PM,https://zoom.us/j/9877389102,"929-205-6099,,9877389102#",9877389102#,
Sunday,A Design for Living,Neptune,BB,7:00 PM,https://zoom.us/j/505546255,"929-205-6099,,505546255#",505546255#,
Sunday,North Bergen Palisades A.A.,North Bergen,O-D,7:30 PM,https://zoom.us/j/804401442,"6468769923,,804401442#",804401442#,
Sunday,Rocky Hill,Skillman,,7:30 PM,(Phone Only),(425) 436-6352,389567,
Sunday,Summit Pilgrim 7:30 Mtg ,Summit,Varies,7:30 PM,https://zoom.us/j/308991526,"9294362866,,308991526#",308991526#,
Sunday,Friends of Bill W,Vernon,C-D,7:30 PM,https://zoom.us/j/9858052606,"3462487799,,9858052606#",9852852606#,
Sunday,Circle Of Friends,West Orange,O-S-D,7:30 PM,https://zoom.us/j/704168826,"929-205-6099,,704168826#",704168826#,
Sunday,Montclair Nightly Discussion,Montclair,C-D,8:30 PM,https://zoom.us/j/899491369,"929-205-6099,,899491369#",899491369#,
Sunday,Primary Purpose Group,Woodbridge,O-S,8:30 PM,https://zoom.us/j/985851112,"9294362866,,985851112#",985851112#,
Sunday,Wood-Ridge Sunday Night,Wood-Ridge,O-S,8:30 PM,https://zoom.us/j/9877389102,"929-205-6099,,9877389102#",9877389102#,
